aaeinort                 | aaronite, aeration
ainnoort                 | noration, ornation, orotinan
aailnort                 | notarial, rational, rotalian
inooprst                 | notropis, positron, sorption
aacinotv                 | octavian, octavina, vacation
deioorst                 | oestroid, ordosite, ostreoid
agimnors                 | orangism, organism, sinogram
aeenorst                 | orestean, resonate, stearone
aeilnort                 | oriental, relation, tirolean
hoorttuw                 | outthrow, outworth, throwout
adeeorrv                 | overdare, overdear, overread
adeelorv                 | overdeal, overlade, overlead
eeorrtuv                 | overtrue, overture, trouvere
aaelnprt                 | parental, paternal, prenatal
aabelprs                 | parsable, prebasal, sparable
aceilprt                 | particle, plicater, prelatic
aeilnopr                 | pelorian, peronial, proalien
adelnpru                 | pendular, underlap, uplander
delmnpuu                 | pendulum, unlumped, unplumed
eeimoprs                 | perisome, promisee, reimpose
eioprsuv                 | pervious, previous, viperous
ahooptyz                 | phytozoa, zoopathy, zoophyta
ilmoppsu                 | pimplous, pompilus, populism
aeiprsst                 | piratess, serapist, tarsipes
adelnopr                 | polander, ponderal, prenodal
einoprss                 | poriness, pression, ropiness
elopssst                 | postless, spotless, stopless
aloprstu                 | postural, pulsator, sportula
eoprrstu                 | posturer, resprout, sprouter
adeoprrt                 | predator, protrade, teardrop
eeimprrt                 | premerit, preremit, repermit
aelnprsu                 | purslane, serpulan, supernal
deinopry                 | pyrenoid, pyridone, pyrodine
aeilqrtu                 | quartile, requital, triequal
aceehrrs                 | rechaser, research, searcher
adeerrrw                 | redrawer, rewarder, warderer
aeelrrsv                 | reserval, reversal, slaverer
aegilnrs                 | resignal, seringal, signaler
eeilrrsv                 | resilver, silverer, sliverer
ehmoorst                 | resmooth, romeshot, smoother
acehnrst                 | resnatch, snatcher, stancher
eeorrrst                 | resorter, restorer, retrorse
aeinrrst                 | restrain, strainer, transire
eginrrst                 | restring, ringster, stringer
aeelrrtv                 | retravel, revertal, traveler
eeimorst                 | rosetime, timorese, tiresome
admnorsw                 | sandworm, swordman, wordsman
acelprst                 | sceptral, scraplet, spectral
eeilmnsu                 | selenium, semilune, seminule
agillnsy                 | signally, singally, slangily
eiklnsss                 | silkness, sinkless, skinless
acdinops                 | spadonic, spondaic, spondiac
aailmnst                 | staminal, tailsman, talisman
adeinrst                 | stradine, strained, tarnside
acchiort                 | thoracic, tocharic, trochaic
denorstu                 | tonsured, unsorted, unstored
abilnrtu                 | tribunal, turbinal, untribal
ddeginru                 | underdig, ungirded, unridged
adeenrsu                 | undersea, unerased, unseared
deginnsu                 | undesign, unsigned, unsinged
adehlnsu                 | unhalsed, unlashed, unshaled
adehnpsu                 | unhasped, unphased, unshaped
adelnstu                 | unsalted, unslated, unstaled
adeenstu                 | unseated, unsedate, unteased
acceinort                | accretion, anorectic, neoarctic
acenorstu                | acentrous, courtesan, nectarous
aacddeiir                | acrididae, cardiidae, cidaridae
adeimnost                | ademonist, demoniast, staminode
acdeeilop                | adipocele, cepolidae, ploceidae
aadgiinno                | agoniadin, anangioid, ganoidian
aaeginrst                | agrestian, gerastian, stangeria
aceiimrst                | ameristic, armistice, artemisic
aaeimnnot                | amnionate, anamniote, emanation
aachinrst                | anarchist, archsaint, cantharis
aacillnry                | ancillary, carlylian, cranially
aciinnost                | anconitis, antiscion, onanistic
aacegilln                | angelical, englacial, galenical
aaaelnntt                | antenatal, atlantean, tantalean
aaachinrt                | anthracia, antiarcha, catharina
aceinnsst                | anticness, cantiness, incessant
acinorttu                | anticourt, curtation, ructation
aceeinprt                | anticreep, apenteric, increpate
adeilmnot                | antimodel, maldonite, monilated
aeginnort                | antinegro, argentino, argention
aeinoprtt                | antitrope, patronite, tritanope
aceelnort                | antrocele, coeternal, tolerance
aeenprsst                | apertness, peartness, taperness
adehioprt                | aphrodite, atrophied, diaporthe
aaegilnpp                | appealing, lagniappe, panplegia
adeeginrt                | argentide, denigrate, dinergate
aaelrsstu                | assaulter, reassault, saleratus
acdeinsty                | asyndetic, cystidean, syndicate
abeeklrss                | bakerless, brakeless, breakless
aabeilnst                | balanites, basaltine, stainable
aabbeinrt                | barnabite, rabbanite, rabbinate
abceinort                | bicornate, carbonite, reboantic
abcilnoru                | binocular, caliburno, colubrina
beefilrss                | briefless, fiberless, fibreless
aaceilntt                | cantalite, lactinate, tetanical
achiloprt                | carpolith, politarch, trophical
acfilmoru                | cauliform, formulaic, fumarolic
cdeiillno                | celloidin, collidine, decillion
ceeilnort                | centriole, electrion, relection
aceilnrtu                | centurial, lucretian, ultranice
ceinnortu                | centurion, continuer, cornutine
ceinoorst                | certosino, cortisone, socotrine
aceilmnru                | ceruminal, melanuric, numerical
accdeiiln                | cicindela, cinclidae, icelandic
acdeiimrt                | citramide, diametric, matricide
acdeinort                | citronade, endaortic, redaction
cdeilmnoo                | clinodome, melodicon, monocleid
acdeinotu                | coadunite, education, noctuidae
ccenorrtu                | cocurrent, occurrent, uncorrect
ceennorst                | consenter, nonsecret, reconsent
acilnnotu                | continual, inoculant, unctional
ceilnorsu                | cornelius, inclosure, reclusion
aaceinnrt                | cratinean, incarnate, nectarian
ceioprstu                | crepitous, euproctis, uroseptic
aceilrrtu                | curtailer, recruital, reticular
acegilrtu                | curtilage, cutigeral, graticule
ceelrsstu                | cutleress, lecturess, truceless
cemoostty                | cystotome, cytostome, ostectomy
acdeimort                | decimator, medicator, mordicate
adeiilnrt                | deliriant, draintile, interlaid
ddeeinrst                | dendrites, distender, redistend
adeelmnru                | denumeral, undermeal, unrealmed
deinorstu                | detrusion, tinderous, unstoried
deeirstuv                | detrusive, divesture, servitude
cdehiiort                | dichroite, erichtoid, theriodic
acdeiiprt                | dipicrate, patricide, pediatric
deiinoprt                | direption, perdition, tropidine
deehinrst                | disherent, hinderest, tenderish
adeinrstu                | disnature, sturnidae, truandise
abdelnstu                | dunstable, unblasted, unstabled
abdeenrtu                | eburnated, underbeat, unrebated
ceimmnoos                | economism, monoecism, monosemic
aeegilnnt                | eglantine, inelegant, legantine
aceiilnst                | elasticin, inelastic, sciential
aaeimnstt                | emanatist, staminate, tasmanite
aeegilmnn                | enameling, malengine, meningeal
aceinnrtu                | encurtain, runcinate, uncertain
adeeginnr                | endearing, engrained, grenadine
aeenorrtv                | enervator, renovater, venerator
aeeinsttt                | enstatite, intestate, satinette
aeeinnrtt                | entertain, tarentine, terentian
ceeimnort                | entomeric, intercome, morencite
einnooprt                | entropion, pontonier, prenotion
adeeilmpr                | epidermal, impleader, premedial
aceehilpt                | epithecal, petechial, phacelite
aegilnprs                | espringal, presignal, relapsing
aaeeimntx                | examinate, exanimate, metaxenia
aefimnort                | forminate, fremontia, taeniform
addeeglnr                | gladdener, glandered, regladden
aadginort                | gradation, indagator, tanagroid
agiilnort                | gratiolin, largition, tailoring
aeehinprs                | hesperian, phrenesia, seraphine
abdeilnru                | indurable, unbrailed, unridable
ehiinprst                | inspreith, nephritis, phrenitis
deeimnort                | interdome, mordenite, nemertoid
eeiimnnrt                | intermine, nemertini, terminine
ceehiknrt                | kitchener, rethicken, thickener
aeiiklnst                | kleistian, saintlike, satinlike
aeilnorst                | lairstone, orleanist, serotinal
aeeglnrss                | largeness, rangeless, regalness
aeeehlrrt                | leatherer, releather, tarheeler
eeghilnrt                | lightener, relighten, threeling
eghilnsst                | lightness, nightless, thingless
eeilmnost                | limestone, melonites, milestone
aceilrtuv                | lucrative, revictual, victualer
aceilmnsu                | masculine, semuncial, simulance
ceeimmors                | mesomeric, microseme, semicrome
aeimnoprs                | mesropian, promnesia, spironema
eeeilmsst                | messelite, semisteel, teleseism
eemmnoort                | metronome, monometer, monotreme
adeeilmrs                | misdealer, misleader, misleared
aghmnoopr                | monograph, nomograph, phonogram
cemnoorty                | necrotomy, normocyte, oncometry
cehiinprt                | nephritic, phrenitic, prehnitic
eelnorsuv                | nervulose, unresolve, vulnerose
aeilnrstu                | neuralist, ulsterian, unrealist
aeinnrstu                | neustrian, saturnine, sturninae
ceemoortt                | octometer, rectotome, tocometer
adeeiorst                | oestridae, ostreidae, sorediate
acdeiinos                | oniscidae, oscinidae, sciaenoid
aeloprstu                | opulaster, sportulae, sporulate
aeinorstv                | overstain, servation, versation
aacilnopt                | pactional, pactolian, placation
abeeoprrt                | perborate, prorebate, reprobate
eefmoprrr                | performer, prereform, reperform
adeeioprt                | periodate, proetidae, proteidae
aeellpsst                | petalless, plateless, pleatless
aeegloprt                | petrogale, petrolage, prolegate
ailnooprt                | ploration, portional, prolation
aceinoprt                | preaction, precation, recaption
cdeeiprrt                | precredit, predirect, repredict
ciioprstt                | proctitis, protistic, tropistic
acdenrttu                | reductant, traducent, truncated
aeelorrtv                | relevator, revelator, veratrole
deenprssu                | resuspend, suspender, unpressed
eeehnrsst                | retheness, thereness, threeness
ceoprsstu                | spectrous, susceptor, suspector
acilnostu                | suctional, sulcation, unstoical
acdeilmnu                | unclaimed, undecimal, unmedical
ceenprstu                | unrespect, unscepter, unsceptre
